id,publisher,classification,released_games,unreleased_games,total_revenue,avg_revenue_per_game,median_revenue_per_game,hq_country,pct_inhouse,action,adventure,arcade,casino,lifestyle,puzzle,racing,rpg,shooter,simulation,sports,strategy,tabletop
126,Hinterland Studio Inc.,Indie,1,1,90200000.0,90200000.0,90200000.0,,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,Red Hook Studios,AA,2,0,89700000.0,44900000.0,44900000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
128,Berserk Games,Indie,1,0,89400000.0,89400000.0,89400000.0,United States,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
129,Kunos Simulazioni,Indie,1,0,88300000.0,88300000.0,88300000.0,Italy,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
130,Nicalis Inc.,Indie,24,0,88000000.0,3700000.0,54955.0,,33.0,50.0,0.0,25.0,0.0,0.0,17.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
131,Fulqrum Publishing,Indie,125,3,87000000.0,696000.0,79941.0,,11.0,11.0,7.0,2.0,0.0,0.0,2.0,3.0,17.0,12.0,5.0,0.0,42.0,0.0
132,Studio MDHR Entertainment Inc.,AA,1,0,84500000.0,84500000.0,84500000.0,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Monomi Park,Indie,2,0,83800000.0,41900000.0,41900000.0,United States,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
134,Owlcat Games,Indie,3,3,83300000.0,27800000.0,39200000.0,,33.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,17.0,0.0
135,PLAYISM,Indie,130,12,82800000.0,637000.0,143000.0,Sweden,0.0,31.0,21.0,11.0,0.0,0.0,4.0,1.0,13.0,6.0,5.0,0.0,6.0,0.0
136,Good Shepherd Entertainment,AA,30,1,82300000.0,2700000.0,706000.0,Sweden,0.0,19.0,10.0,13.0,0.0,0.0,6.0,0.0,0.0,10.0,10.0,0.0,32.0,0.0
137,ScottGames,Indie,4,0,82100000.0,20500000.0,7400000.0,United States,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,Chucklefish,AA,13,3,81400000.0,6300000.0,952000.0,,19.0,27.0,7.0,7.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,40.0,0.0
139,Avalanche Studios,AA,6,0,81100000.0,13500000.0,6900000.0,Sweden,33.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,50.0,0.0,0.0,0.0
140,Techland,AA,5,0,81000000.0,16200000.0,942000.0,Poland,60.0,20.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,20.0,0.0,0.0,0.0
141,Digital Confectioners,Indie,3,2,79600000.0,26500000.0,28300000.0,,40.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
142,FireFly Studios,Indie,13,0,79300000.0,6100000.0,3600000.0,United Kingdom,100.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0
143,Kalypso Media,AA,18,3,79300000.0,4400000.0,1100000.0,Sweden,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,16.0,5.0,58.0,0.0
144,NetEase Games Global,AAA,1,0,79200000.0,79200000.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
145,HIKARI FIELD,Indie,51,2,78800000.0,1500000.0,482000.0,China,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Cygames Inc.,Indie,9,0,78700000.0,8700000.0,1100000.0,,89.0,33.0,0.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,22.0,0.0,22.0,0.0
147,tobyfox,Indie,2,0,74600000.0,37300000.0,37300000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
148,IndieArk,Indie,61,7,74200000.0,1200000.0,146000.0,,0.0,12.0,12.0,7.0,0.0,0.0,10.0,0.0,3.0,1.0,12.0,0.0,43.0,0.0
149,MINT ROCKET,Indie,1,0,73900000.0,73900000.0,73900000.0,,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,WhisperGames,Indie,78,10,73300000.0,940000.0,127000.0,China,0.0,13.0,30.0,7.0,0.0,0.0,5.0,0.0,13.0,1.0,9.0,0.0,23.0,1.0
151,New World Interactive,Indie,2,0,72000000.0,36000000.0,36000000.0,Canada,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
152,Frozenbyte,AA,9,0,71400000.0,7900000.0,1100000.0,Finland,100.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0
153,Missing Link Games,Indie,6,0,70000000.0,11700000.0,186000.0,,17.0,67.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0
154,Boneloaf,Indie,1,0,69900000.0,69900000.0,69900000.0,United Kingdom,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Eleventh Hour Games,Indie,2,0,69300000.0,34600000.0,69300000.0,United States,100.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0
156,Frozen District,Indie,12,8,69300000.0,5800000.0,278000.0,Poland,5.0,11.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0
157,astragon Entertainment,Indie,36,2,68700000.0,1900000.0,304000.0,,3.0,0.0,6.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,72.0,0.0,8.0,0.0
158,Crate Entertainment,AA,2,0,67200000.0,33600000.0,33600000.0,United States,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0
159,Double Fine Productions,Indie,14,0,67100000.0,4800000.0,2800000.0,United States,100.0,7.0,50.0,7.0,0.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,21.0,0.0
160,SgtOkiDoki,Indie,1,0,66300000.0,66300000.0,66300000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
161,GSC Game World,Indie,7,0,65800000.0,9400000.0,6300000.0,Czech Republic,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,29.0,0.0
162,HypeTrain Digital,Indie,58,14,65000000.0,1100000.0,2100000.0,,1.0,45.0,1.0,3.0,0.0,0.0,0.0,0.0,15.0,11.0,13.0,0.0,11.0,0.0
163,Keen Software House,AA,5,0,64700000.0,12900000.0,2700000.0,Czech Republic,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0
164,Fireshine Games,Indie,22,7,63200000.0,2900000.0,295000.0,Sweden,0.0,37.0,7.0,11.0,0.0,0.0,0.0,0.0,4.0,4.0,11.0,0.0,26.0,0.0
165,Tuxedo Labs,Indie,1,0,63100000.0,63100000.0,63100000.0,Sweden,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
166,Toadman Interactive,Indie,3,1,62500000.0,20800000.0,0.0,Sweden,50.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
167,Microids,Indie,125,4,62400000.0,500000.0,42270.0,Sweden,12.0,12.0,31.0,17.0,0.0,2.0,2.0,9.0,2.0,5.0,10.0,1.0,9.0,0.0
168,4Divinity,Indie,8,4,62400000.0,7800000.0,585000.0,,0.0,60.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,10.0,0.0,0.0,0.0,0.0
169,Starbreeze Entertainment,Indie,4,0,60600000.0,15200000.0,6400000.0,Sweden,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0
170,Secret Mode,Indie,21,4,59500000.0,2800000.0,497000.0,,0.0,17.0,13.0,22.0,0.0,0.0,9.0,4.0,9.0,0.0,17.0,4.0,4.0,0.0
171,Feral Interactive (Linux/Mac),Indie,1,0,59300000.0,59300000.0,59300000.0,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,WOLCEN Studio,AA,1,1,59100000.0,59100000.0,59100000.0,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
173,Milestone S.r.l.,Indie,46,2,58400000.0,1300000.0,910000.0,Italy,94.0,2.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0
174,inXile Entertainment,Indie,11,0,55600000.0,5100000.0,1000000.0,United States,100.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,9.0,0.0,0.0,0.0,0.0
175,Innersloth,Indie,4,0,55100000.0,13800000.0,8700000.0,,75.0,0.0,25.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Panic,AA,9,2,54800000.0,6100000.0,197000.0,,0.0,0.0,30.0,20.0,0.0,10.0,10.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0
177,Serenity Forge,Indie,27,4,54400000.0,2000000.0,371000.0,,16.0,13.0,50.0,7.0,0.0,0.0,7.0,0.0,17.0,0.0,3.0,0.0,3.0,0.0
178,SNK CORPORATION,Indie,33,0,53900000.0,1600000.0,226000.0,,79.0,83.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,0.0
179,Crowbar Collective,Indie,1,0,53600000.0,53600000.0,53600000.0,United States,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
180,Ninja Kiwi,Indie,12,1,53600000.0,4500000.0,26800000.0,,92.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,8.0,31.0,0.0,0.0,54.0,0.0
181,Curve Animation,Indie,1,0,53100000.0,53100000.0,53100000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
182,NeoCoreGames,Indie,9,0,52500000.0,5800000.0,3600000.0,Hungary,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,33.0,0.0
183,Remedy Entertainment,Indie,4,1,52200000.0,13000000.0,4400000.0,Finland,80.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,50.0,0.0,0.0,0.0,0.0
184,System Era Softworks,AA,1,0,52100000.0,52100000.0,52100000.0,United States,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Mega Crit,Indie,1,1,51700000.0,51700000.0,51700000.0,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
186,Eugen Systems,Indie,6,0,51400000.0,8600000.0,7200000.0,France,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
187,Playdead,AA,2,0,51400000.0,25700000.0,25700000.0,Denmark,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,NekoNyan Ltd.,Indie,34,2,50700000.0,1500000.0,240000.0,United Kingdom,8.0,0.0,97.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
189,AdHoc Studio,Indie,1,1,50400000.0,50400000.0,50400000.0,,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
190,3909,Indie,2,0,50100000.0,25100000.0,25100000.0,Japan,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
191,Aerosoft GmbH,Indie,52,5,50100000.0,963000.0,269000.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,89.0,0.0,7.0,0.0
192,Prime Matter,AA,16,0,49800000.0,3100000.0,658000.0,,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,44.0,0.0,0.0,13.0,0.0
193,Motion Twin,AA,2,0,49300000.0,24700000.0,24700000.0,,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,SUPERHOT Team,Indie,3,0,49000000.0,16300000.0,14100000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
195,Toplitz Productions,Indie,27,7,49000000.0,1800000.0,319000.0,Germany,0.0,15.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,59.0,3.0,12.0,0.0
196,Sekai Project,Indie,171,5,49000000.0,286000.0,38631.0,,2.0,2.0,77.0,4.0,0.0,0.0,1.0,0.0,8.0,1.0,3.0,0.0,4.0,0.0
197,10 Chambers,Indie,1,1,48100000.0,48100000.0,48100000.0,Sweden,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
198,2PGames,Indie,64,25,48000000.0,751000.0,58796.0,,0.0,18.0,18.0,1.0,0.0,0.0,6.0,0.0,12.0,1.0,14.0,0.0,29.0,0.0
199,XD,Indie,33,5,47700000.0,1400000.0,612000.0,China,18.0,29.0,6.0,9.0,0.0,0.0,6.0,0.0,18.0,0.0,9.0,0.0,24.0,0.0
200,Beamdog,Indie,6,0,47100000.0,7900000.0,6100000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,17.0
201,META Publishing,Indie,11,3,46700000.0,4200000.0,733000.0,Cyprus,7.0,29.0,7.0,29.0,0.0,0.0,7.0,0.0,7.0,0.0,14.0,0.0,7.0,0.0
202,Triternion,AA,1,0,46500000.0,46500000.0,46500000.0,Slovenia,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,Idea Factory International,AA,34,2,46400000.0,1400000.0,780000.0,,3.0,18.0,15.0,0.0,0.0,0.0,0.0,0.0,53.0,3.0,0.0,0.0,9.0,3.0
204,Creepy Jar,Indie,2,0,46000000.0,23000000.0,23000000.0,Poland,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,"PopCap Games, Inc.",Indie,32,0,45000000.0,1400000.0,48038.0,,72.0,3.0,3.0,19.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,0.0,3.0,3.0
206,RocketWerkz,Indie,4,1,45000000.0,11200000.0,2800000.0,,80.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,40.0,0.0
207,Ndemic Creations,Indie,4,0,44600000.0,11100000.0,2100000.0,United Kingdom,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
208,Stress Level Zero,Indie,5,0,44600000.0,8900000.0,1700000.0,United States,100.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
209,Kagura Games,Indie,198,16,44200000.0,223000.0,64028.0,United States,0.0,9.0,17.0,1.0,0.0,0.0,1.0,0.0,63.0,1.0,8.0,0.0,2.0,0.0
210,Marvelous Europe,Indie,25,1,42900000.0,1700000.0,938000.0,,0.0,24.0,4.0,4.0,0.0,0.0,4.0,0.0,20.0,12.0,28.0,0.0,4.0,0.0
211,"NIS America, Inc.",Indie,63,5,42800000.0,679000.0,306000.0,,0.0,15.0,5.0,0.0,0.0,0.0,3.0,0.0,51.0,0.0,2.0,0.0,25.0,0.0
212,Konami Digital Entertainment,AA,15,0,42500000.0,2800000.0,0.0,Japan,80.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,7.0,0.0
213,ProjectMoon,Indie,3,0,42000000.0,14000000.0,21000000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,67.0,0.0
214,Campo Santo,Indie,1,1,41400000.0,41400000.0,41400000.0,,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,Running With Scissors,Indie,6,0,40700000.0,6800000.0,6000000.0,United States,67.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0
216,Shochiku (Japan),Indie,3,0,40100000.0,13400000.0,5800000.0,,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,33.0,0.0
217,Joey Drew Studios,Indie,5,2,39300000.0,7900000.0,8600000.0,,57.0,83.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,CRITICAL REFLEX,Indie,17,16,39000000.0,2300000.0,362000.0,Sweden,0.0,19.0,25.0,13.0,0.0,0.0,3.0,0.0,6.0,3.0,13.0,0.0,19.0,0.0
219,CE-Asia(Asia),Indie,1,0,38900000.0,38900000.0,38900000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
220,Chromatic Games,Indie,4,1,38800000.0,9700000.0,3400000.0,,80.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0
221,Kitfox Games,Indie,12,4,38700000.0,3200000.0,678000.0,,25.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,50.0,0.0,25.0,0.0
222,Planetary Annihilation Inc,Indie,2,0,38700000.0,19300000.0,19100000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
223,Egosoft,Indie,10,0,38200000.0,3800000.0,492000.0,Germany,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
224,Dear Villagers,Indie,75,4,37900000.0,506000.0,76706.0,Sweden,0.0,27.0,18.0,18.0,0.0,0.0,6.0,1.0,8.0,4.0,4.0,0.0,13.0,1.0
225,Croteam,Indie,5,0,37900000.0,7600000.0,1900000.0,Sweden,40.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0
226,Kasedo Games,Indie,16,2,37800000.0,2400000.0,253000.0,,0.0,0.0,0.0,11.0,0.0,0.0,11.0,0.0,6.0,0.0,28.0,0.0,44.0,0.0
227,Atari,Indie,114,2,37600000.0,330000.0,15941.0,United States,1.0,17.0,4.0,20.0,0.0,0.0,3.0,3.0,4.0,16.0,16.0,3.0,15.0,0.0
228,Knights Peak,Indie,5,1,37500000.0,7500000.0,1500000.0,,0.0,33.0,0.0,17.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,17.0,0.0
229,"MADFINGER Games, a.s.",Indie,1,0,37300000.0,37300000.0,37300000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
230,Pine Studio,Indie,4,1,37100000.0,9300000.0,3200000.0,,80.0,20.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,Reissad Studio,Indie,2,0,37000000.0,18500000.0,37000000.0,,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0
232,Gamersky Games,Indie,112,6,37000000.0,330000.0,10622.0,Sweden,0.0,15.0,3.0,12.0,0.0,0.0,28.0,0.0,4.0,3.0,14.0,3.0,19.0,0.0
233,"OMOCAT, LLC",Indie,1,0,36700000.0,36700000.0,36700000.0,United States,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
234,D3Publisher,Indie,33,0,36700000.0,1100000.0,211000.0,United States,3.0,19.0,16.0,9.0,0.0,0.0,13.0,0.0,13.0,28.0,3.0,0.0,0.0,0.0
235,Spiral Up Games,Indie,11,3,35900000.0,3300000.0,1500000.0,,0.0,23.0,8.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,23.0,0.0,31.0,0.0
236,Lo-Fi Games,AA,1,0,35200000.0,35200000.0,35200000.0,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
237,NUGGETS ENTERTAINMENT,Indie,1,1,35100000.0,35100000.0,35100000.0,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
238,Clever Endeavour Games,Indie,2,0,34900000.0,17400000.0,17400000.0,,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,Nexon,Indie,7,3,34700000.0,5000000.0,17300000.0,,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,0.0,0.0
240,Duoyi Games,Indie,2,0,34400000.0,17200000.0,17200000.0,China,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
241,Telltale,Indie,17,0,34300000,2000000,319000,,94,0,82,0,6,0,12,0,0,0,0,0,0,0
242,Nolla Games,Indie,1,0,34000000,34000000,34000000,,100,100,0,0,0,0,0,0,0,0,0,0,0,0
243,Shining Rock Software LLC,Indie,1,0,34000000,34000000,34000000,,100,0,0,0,0,0,0,0,0,0,0,0,100,0
244,Ninja Theory,Indie,4,0,33700000,8400000,1100000,United Kingdom,100,75,0,0,0,0,0,0,0,25,0,0,0,0
245,Versus Evil,Indie,29,0,33400000,1200000,225000,United States,0,21,10,14,0,0,0,0,17,3,3,0,28,3
246,Akupara Games,Indie,43,6,33200000,772000,104000,United States,6,17,40,13,0,2,4,4,2,0,10,0,8,0
247,DotEmu,Indie,15,2,33200000,2200000,1200000,,47,60,7,13,0,0,0,0,0,0,0,0,20,0
248,Another Axiom Inc.,Indie,1,0,33100000,33100000,33100000,,100,0,0,100,0,0,0,0,0,0,0,0,0,0
249,Source Technology,Indie,1,0,33000000,33000000,33000000,,0,0,0,100,0,0,0,0,0,0,0,0,0,0
250,Edmund McMillen,Indie,5,1,32800000,6600000,1600000,United States,67,20,0,20,0,0,20,0,20,0,0,0,20,0
251,Siege Camp,Indie,2,1,32800000,16400000,16400000,Canada,67,0,0,0,0,0,0,0,0,0,0,0,100,0
252,RedCandleGames,Indie,3,0,32500000,10800000,11500000,,100,67,33,0,0,0,0,0,0,0,0,0,0,0
253,Scott Cawthon,Indie,9,0,31900000,3500000,5600000,United States,100,67,0,11,0,0,0,0,11,0,11,0,0,0
254,Maddy Makes Games Inc.,Indie,2,0,31800000,15900000,15900000,,100,0,0,100,0,0,0,0,0,0,0,0,0,0
255,Donkey Crew,Indie,2,0,31800000,15900000,15900000,Poland,100,50,0,0,0,0,0,0,0,0,0,0,50,0
256,Dovetail Games - TSW,Indie,6,0,31800000,5300000,4200000,,0,0,0,0,0,0,0,0,0,0,100,0,0,0
257,Phoenix Game,Indie,33,1,31800000,964000,23037,,0,9,3,0,0,0,0,0,38,0,0,0,50,0
258,Robot Entertainment.,Indie,8,0,31500000,3900000,8500000,,88,0,0,0,0,0,0,0,0,0,0,0,100,0
259,Iceberg Interactive,Indie,66,3,31400000,476000,171000,Netherlands,0,12,26,3,0,0,10,1,1,9,13,0,25,0
260,Slightly Mad Studios,Indie,2,0,31200000,15600000,0,United Kingdom,100,0,0,0,0,0,0,100,0,0,0,0,0,0
